abatacepte | pó para solução para infusão | 250 mg | Componente Especializado (CEAF);
abatacepte | solução injetável | 125 mg/mL | Componente Especializado (CEAF);
abciximabe | solução injetável | 2 mg/mL | Componente Especializado (CEAF);
abemaciclibe | comprimido | 150 mg | Componente Especializado (CEAF);
acetato de abiraterona | comprimido | 250 mg | Componente Especializado (CEAF);
acetato de abiraterona | comprimido | 500 mg | Componente Especializado (CEAF);
acetato de betametasona + fosfato dissódico de betametasona | suspensão injetável | 3 mg/mL + 3 mg/mL | Componente Básico (CBAF);
acetato de ciproterona | comprimido | 50 mg | Componente Especializado (CEAF);
acetato de desmopressina | comprimido | 0,1 mg | Componente Especializado (CEAF);
acetato de desmopressina | comprimido | 0,2 mg | Componente Especializado (CEAF);
acetato de desmopressina | solução injetável | 15 mcg/mL | Componente Estratégico (CESAF);
acetato de desmopressina | solução injetável | 4 mcg/mL | Componente Estratégico (CESAF);
acetato de desmopressina | solução spray nasal | 0,1 mg/mL | Componente Especializado (CEAF);
acetato de fludrocortisona | comprimido | 0,1 mg | Componente Especializado (CEAF);
acetato de glatirâmer | solução injetável | 20 mg/mL | Componente Especializado (CEAF);
acetato de glatirâmer | solução injetável | 40 mg/mL | Componente Especializado (CEAF);
acetato de gosserelina | solução injetável depot | 3,6 mg | Componente Especializado (CEAF);
acetato de gosserrelina | implante | 10,8 mg | Componente Especializado (CEAF);
acetato de gosserrelina | implante | 3,6 mg | Componente Especializado (CEAF);
acetato de hidrocortisona | creme | 10 mg/g (1%) | Componente Básico (CBAF);
acetato de lanreotida | solução injetável de liberação prolongada | 120 mg | Componente Especializado (CEAF);
acetato de lanreotida | solução injetável de liberação prolongada | 60 mg | Componente Especializado (CEAF);
acetato de lanreotida | solução injetável de liberação prolongada | 90 mg | Componente Especializado (CEAF);
acetato de leuprorrelina | pó liofilizado para suspensão injetável de liberação prolongada | 22,5 mg | Componente Especializado (CEAF);
acetato de leuprorrelina | pó liofilizado para suspensão injetável de liberação prolongada | 7,5 mg | Componente Especializado (CEAF);
acetato de leuprorrelina | pó para suspensão injetável | 11,25 mg | Componente Especializado (CEAF);
acetato de leuprorrelina | pó para suspensão injetável | 3,75 mg | Componente Especializado (CEAF);
acetato de leuprorrelina | pó para suspensão injetável | 45 mg | Componente Especializado (CEAF);
acetato de medroxiprogesterona | comprimido | 10 mg | Componente Básico (CBAF);
acetato de medroxiprogesterona | suspensão injetável | 150 mg/mL | Componente Básico (CBAF);
acetato de medroxiprogesterona | suspensão injetável | 50 mg/mL | Componente Básico (CBAF);
acetato de medroxiprogesterona + cipionato de estradiol | suspensão injetável | 25 mg/0,5 mL + 5 mg/ 0,5 mL | Componente Básico (CBAF);
acetato de megestrol | comprimido | 160 mg | Componente Especializado (CEAF);
acetato de octreotida | pó para suspensão injetável | 10 mg | Componente Especializado (CEAF);
